Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Royce O'Neale,30.4,BKN,Wing,657,30,13.1%,48,113.6,75,15.0%,97,1.15,56,11.0%
Derrick Rose,35.1,MEM,Point,283,54,25.4%,23,103.8,74,29.2%,57,1.15,34,12.5%
Cody Zeller,31.1,NOP,Big,156,10,11.3%,0,68.8,74,13.5%,93,1.20,97,7.1%
Ish Smith,35.3,CHA,Combo,277,14,14.4%,82,120.0,74,24.6%,98,1.70,0,23.7%
Caleb Martin,28.1,MIA,Forward,440,72,20.3%,24,107.1,74,12.5%,58,0.62,39,11.5%
Jaime Jaquez Jr.,22.7,MIA,Wing,726,75,19.4%,73,121.4,73,15.0%,66,0.78,29,13.3%
Al Horford,37.4,BOS,Big,572,14,11.9%,64,125.4,73,13.4%,91,1.13,54,12.9%
RJ Barrett,23.4,NYK,Forward,585,90,26.3%,26,108.6,72,12.5%,31,0.48,72,8.9%
Max Strus,27.6,CLE,Wing,897,56,17.1%,22,108.4,72,14.9%,76,0.87,58,10.8%
Anthony Davis,30.6,LAL,Big,845,88,24.1%,58,123.2,72,13.4%,41,0.56,80,10.1%
Kyrie Irving,31.6,DAL,Combo,539,88,28.7%,70,117.8,72,24.5%,28,0.85,96,6.3%
De'Aaron Fox,25.9,SAC,Point,639,91,34.5%,63,118.3,71,29.1%,9,0.84,77,8.6%
Jaylin Williams,21.3,OKC,Big,236,41,15.1%,18,108.2,71,13.3%,84,0.88,91,8.6%
Shaedon Sharpe,20.4,POR,Wing,897,85,22.4%,25,108.5,71,14.6%,51,0.65,22,14.3%
Doug McDermott,31.8,SAS,Forward,370,31,13.6%,81,124.1,71,12.2%,88,0.90,43,10.9%
Evan Mobley,22.4,CLE,Big,703,65,18.5%,54,122.2,70,12.9%,60,0.69,38,15.9%
Marcus Smart,29.7,MEM,Combo,329,70,23.2%,35,107.0,70,24.2%,63,1.05,2,20.0%
